"","yrs_at_risk","mu","y","rho_ml"
"3475",89.328,16.6994,12,0.71859
"3476",95.754,19.3914,25,1.28923
"3477",65.911,14.9318,9,0.60274
"3478",135.926,25.1261,21,0.83579
"3479",13.426,1.2469,2,1.60397786510546
"3480",49.498,9.3975,7,0.74488
"3481",146.563,17.9807,19,1.05669
"3482",185.908,23.8462,26,1.09032
"3483",157.541,21.2502,23,1.08234
"3484",40.572,9.0128,7,0.77667
"3485",50.502,13.3731,15,1.12165
"3486",63.71,13.3913,18,1.34416
"3487",130.954,15.4545,19,1.22942
"3488",137.662,20.3307,15,0.7378
"3489",231.786,32.0697,23,0.71719
"3490",123.088,14.9949,14,0.93365
"3491",63.425,17.2931,18,1.04088
"3492",95.751,20.6155,20,0.97014
"3493",178.47,27.8721,18,0.64581
"3494",137.949,21.8523,15,0.68643
"3495",139.11,37.4267,19,0.50766
"3496",98.932,18.5679,16,0.8617
"3497",158.467,27.3803,29,1.05916
"3498",76.632,13.2447,22,1.66105
"3499",87.233,18.0504,18,0.99721
"3500",114.557,20.8796,18,0.86208
"3501",168.569,23.6087,25,1.05893
"3502",85.232,16.3421,15,0.91787
